date,ticker,flow_usd
2026-03-19,IBIT,-38300000.0
2026-03-19,FBTC,-26000000.0
2026-03-19,BITB,-17200000.0
2026-03-19,ARKB,-15200000.0
2026-03-19,GBTC,-5500000.0
2026-03-19,EZBC,4099999.9999999995
2026-03-19,BRRR,3200000.0
2026-03-19,BTCO,0.0
2026-03-19,HODL,0.0
2026-03-19,BTCW,0.0
2026-03-20,IBIT,-45900000.0
2026-03-20,FBTC,-9100000.0
2026-03-20,HODL,3000000.0
2026-03-20,BITB,0.0
2026-03-20,ARKB,0.0
2026-03-20,BTCO,0.0
2026-03-20,EZBC,0.0
2026-03-20,BRRR,0.0
2026-03-20,BTCW,0.0
2026-03-20,GBTC,0.0
2026-03-23,IBIT,160800000.0
2026-03-23,FBTC,41700000.0
2026-03-23,GBTC,-25900000.0
2026-03-23,ARKB,-9400000.0
2026-03-23,BITB,0.0
2026-03-23,BTCO,0.0
2026-03-23,EZBC,0.0
2026-03-23,BRRR,0.0
2026-03-23,HODL,0.0
2026-03-23,BTCW,0.0
2026-03-24,FBTC,-45300000.0
2026-03-24,BITB,-16600000.000000002
2026-03-24,HODL,-7900000.0
2026-03-24,IBIT,-4700000.0
2026-03-24,ARKB,0.0
2026-03-24,BTCO,0.0
2026-03-24,EZBC,0.0
2026-03-24,BRRR,0.0
2026-03-24,BTCW,0.0
2026-03-24,GBTC,0.0
2026-03-25,FBTC,83300000.0
2026-03-25,IBIT,-70700000.0
2026-03-25,ARKB,-4800000.0
2026-03-25,BITB,0.0
2026-03-25,BTCO,0.0
2026-03-25,EZBC,0.0
2026-03-25,BRRR,0.0
2026-03-25,HODL,0.0
2026-03-25,BTCW,0.0
2026-03-25,GBTC,0.0
2026-03-26,IBIT,-41900000.0
2026-03-26,BITB,-33100000.0
2026-03-26,FBTC,-32799999.999999996
2026-03-26,ARKB,-30500000.0
2026-03-26,GBTC,-25100000.0
2026-03-26,HODL,-2400000.0
2026-03-26,BTCO,0.0
2026-03-26,EZBC,0.0
2026-03-26,BRRR,0.0
2026-03-26,BTCW,0.0
2026-03-27,IBIT,-201500000.0
2026-03-27,BITB,-18600000.0
2026-03-27,ARKB,-5400000.0
2026-03-27,FBTC,0.0
2026-03-27,BTCO,0.0
2026-03-27,EZBC,0.0
2026-03-27,BRRR,0.0
2026-03-27,HODL,0.0
2026-03-27,BTCW,0.0
2026-03-27,GBTC,0.0
2026-03-30,ARKB,33000000.0
2026-03-30,FBTC,28900000.0
2026-03-30,IBIT,7500000.0
2026-03-30,BITB,0.0
2026-03-30,BTCO,0.0
2026-03-30,EZBC,0.0
2026-03-30,BRRR,0.0
2026-03-30,HODL,0.0
2026-03-30,BTCW,0.0
2026-03-30,GBTC,0.0
2026-03-31,IBIT,98400000.0
2026-03-31,FBTC,16200000.0
2026-03-31,BITB,1800000.0
2026-03-31,ARKB,1100000.0
2026-03-31,BTCO,0.0
2026-03-31,EZBC,0.0
2026-03-31,BRRR,0.0
2026-03-31,HODL,0.0
2026-03-31,BTCW,0.0
2026-03-31,GBTC,0.0
2026-04-01,IBIT,-86500000.0
2026-04-01,FBTC,-78600000.0
2026-04-01,GBTC,-13300000.0
2026-04-01,BITB,-5600000.0
2026-04-01,ARKB,0.0
2026-04-01,BTCO,0.0
2026-04-01,EZBC,0.0
2026-04-01,BRRR,0.0
2026-04-01,HODL,0.0
2026-04-01,BTCW,0.0
2026-04-02,FBTC,7300000.0
2026-04-02,HODL,4700000.0
2026-04-02,IBIT,-3000000.0
2026-04-02,BITB,0.0
2026-04-02,ARKB,0.0
2026-04-02,BTCO,0.0
2026-04-02,EZBC,0.0
2026-04-02,BRRR,0.0
2026-04-02,BTCW,0.0
2026-04-02,GBTC,0.0
2026-04-06,IBIT,181900000.0
2026-04-06,FBTC,147300000.0
2026-04-06,ARKB,118800000.0
2026-04-06,BITB,3800000.0
2026-04-06,HODL,2000000.0
2026-04-06,BTCO,0.0
2026-04-06,EZBC,0.0
2026-04-06,BRRR,0.0
2026-04-06,BTCW,0.0
2026-04-06,GBTC,0.0
2026-04-07,FBTC,-47800000.0
2026-04-07,GBTC,-41900000.0
2026-04-07,ARKB,-34200000.0
2026-04-07,HODL,-20400000.0
2026-04-07,IBIT,-17100000.0
2026-04-07,BRRR,2300000.0
2026-04-07,BITB,0.0
